step,x,u0,cost,du0_da,du0_db,du0_dq_raw,du0_dr_raw,du0_dqf_raw
0,2.00000000,-1.35995889,12.04074001,-4.37532377,0.06288546,-0.42748949,0.40518990,-0.00000121
1,1.42401433,-0.96830046,6.10410404,-3.11526108,0.04477492,-0.30437565,0.28849784,-0.00000086
2,1.01390839,-0.68943679,3.09450078,-2.21808863,0.03188003,-0.21671769,0.20541261,-0.00000062
3,0.72191012,-0.49088407,1.56877053,-1.57929540,0.02269874,-0.15430455,0.14625522,-0.00000044
4,0.51400518,-0.34951290,0.79529488,-1.12446952,0.01616175,-0.10986593,0.10413476,-0.00000031
5,0.36597538,-0.24885572,0.40317810,-0.80062985,0.01150726,-0.07822531,0.07414471,-0.00000022
6,0.26057711,-0.17718707,0.20439288,-0.57005441,0.00819327,-0.05569699,0.05279155,-0.00000016
7,0.18553278,-0.12615846,0.10361781,-0.40588307,0.00583364,-0.03965665,0.03758797,-0.00000011
8,0.13210067,-0.08982574,0.05252950,-0.28899148,0.00415361,-0.02823584,0.02676290,-0.00000008
9,0.09405664,-0.06395657,0.02663006,-0.20576406,0.00295740,-0.02010412,0.01905538,-0.00000006
10,0.06696900,-0.04553754,0.01350022,-0.14650545,0.00210568,-0.01431428,0.01356757,-0.00000004
11,0.04768242,-0.03242305,0.00684399,-0.10431297,0.00149926,-0.01019187,0.00966021,-0.00000003
12,0.03395022,-0.02308545,0.00346959,-0.07427155,0.00106749,-0.00725669,0.00687814,-0.00000002
13,0.02417281,-0.01643701,0.00175892,-0.05288191,0.00076006,-0.00516681,0.00489729,-0.00000001
14,0.01721121,-0.01170327,0.00089169,-0.03765231,0.00054117,-0.00367881,0.00348690,-0.00000001
15,0.01225451,-0.00833281,0.00045205,-0.02680871,0.00038532,-0.00261934,0.00248270,-0.00000001
16,0.00872530,-0.00593302,0.00022917,-0.01908800,0.00027435,-0.00186499,0.00176770,-0.00000001
17,0.00621247,-0.00422435,0.00011618,-0.01359079,0.00019534,-0.00132788,0.00125861,-0.00000000
18,0.00442333,-0.00300777,0.00005890,-0.00967674,0.00013908,-0.00094546,0.00089614,-0.00000000
19,0.00314944,-0.00214155,0.00002986,-0.00688991,0.00009903,-0.00067318,0.00063806,-0.00000000
20,0.00224242,-0.00152480,0.00001514,-0.00490567,0.00007051,-0.00047931,0.00045430,-0.00000000
21,0.00159662,-0.00108567,0.00000767,-0.00349287,0.00005020,-0.00034127,0.00032347,-0.00000000
22,0.00113681,-0.00077301,0.00000389,-0.00248695,0.00003574,-0.00024299,0.00023031,-0.00000000
23,0.00080941,-0.00055039,0.00000197,-0.00177072,0.00002545,-0.00017301,0.00016398,-0.00000000
24,0.00057631,-0.00039188,0.00000100,-0.00126077,0.00001812,-0.00012318,0.00011676,-0.00000000
25,0.00041034,-0.00027902,0.00000051,-0.00089768,0.00001290,-0.00008771,0.00008313,-0.00000000
26,0.00029216,-0.00019866,0.00000026,-0.00063915,0.00000919,-0.00006245,0.00005919,-0.00000000
27,0.00020802,-0.00014145,0.00000013,-0.00045508,0.00000654,-0.00004446,0.00004214,-0.00000000
28,0.00014811,-0.00010071,0.00000007,-0.00032402,0.00000466,-0.00003166,0.00003001,-0.00000000
29,0.00010546,-0.00007171,0.00000003,-0.00023071,0.00000332,-0.00002254,0.00002137,-0.00000000
30,0.00007509,-0.00005106,0.00000002,-0.00016426,0.00000236,-0.00001605,0.00001521,-0.00000000
31,0.00005346,-0.00003635,0.00000001,-0.00011696,0.00000168,-0.00001143,0.00001083,-0.00000000
32,0.00003807,-0.00002588,0.00000000,-0.00008327,0.00000120,-0.00000814,0.00000771,-0.00000000
33,0.00002710,-0.00001843,0.00000000,-0.00005929,0.00000085,-0.00000579,0.00000549,-0.00000000
34,0.00001930,-0.00001312,0.00000000,-0.00004222,0.00000061,-0.00000412,0.00000391,-0.00000000
35,0.00001374,-0.00000934,0.00000000,-0.00003006,0.00000043,-0.00000294,0.00000278,-0.00000000
36,0.00000978,-0.00000665,0.00000000,-0.00002140,0.00000031,-0.00000209,0.00000198,-0.00000000
37,0.00000697,-0.00000474,0.00000000,-0.00001524,0.00000022,-0.00000149,0.00000141,-0.00000000
38,0.00000496,-0.00000337,0.00000000,-0.00001085,0.00000016,-0.00000106,0.00000100,-0.00000000
39,0.00000353,-0.00000240,0.00000000,-0.00000773,0.00000011,-0.00000075,0.00000072,-0.00000000
