iter,loss
0,0.02679849
1,0.02523303
2,0.02378376
3,0.02244063
4,0.02119453
5,0.02003724
6,0.01896145
7,0.01796042
8,0.01702812
9,0.01615905
10,0.01534826
11,0.01459122
12,0.01388380
13,0.01322224
14,0.01260310
15,0.01202326
16,0.01147986
17,0.01097025
18,0.01049202
19,0.01004296
20,0.00962102
21,0.00922435
22,0.00885121
23,0.00850000
24,0.00816927
25,0.00785766
26,0.00756390
27,0.00728684
28,0.00702541
29,0.00677860
30,0.00654548
31,0.00632521
32,0.00611698
33,0.00592005
34,0.00573373
35,0.00555737
36,0.00539039
37,0.00523221
38,0.00508232
39,0.00494022
40,0.00480547
41,0.00467764
42,0.00455633
43,0.00444117
44,0.00433180
45,0.00422792
46,0.00412920
47,0.00403535
48,0.00394612
49,0.00386124
50,0.00378048
51,0.00370361
52,0.00363043
53,0.00356074
54,0.00349435
55,0.00343109
56,0.00337079
57,0.00331329
58,0.00325845
59,0.00320614
60,0.00315621
61,0.00310856
62,0.00306305
63,0.00301959
64,0.00297807
65,0.00293839
66,0.00290046
67,0.00286419
68,0.00282949
69,0.00279631
70,0.00276454
71,0.00273413
72,0.00270501
73,0.00267712
74,0.00265040
75,0.00262478
76,0.00260023
77,0.00257668
78,0.00255408
79,0.00253241
80,0.00251160
81,0.00249162
82,0.00247243
83,0.00245399
84,0.00243627
85,0.00241923
86,0.00240284
87,0.00238707
88,0.00237190
89,0.00235729
90,0.00234322
91,0.00232967
92,0.00231660
93,0.00230401
94,0.00229186
95,0.00228014
96,0.00226883
97,0.00225790
98,0.00224735
99,0.00223716
100,0.00222730
101,0.00221777
102,0.00220854
103,0.00219962
104,0.00219098
105,0.00218260
106,0.00217449
107,0.00216662
108,0.00215899
109,0.00215159
110,0.00214440
111,0.00213743
112,0.00213065
113,0.00212405
114,0.00211765
115,0.00211141
116,0.00210534
117,0.00209943
118,0.00209367
119,0.00208806
120,0.00208259
121,0.00207725
122,0.00207204
123,0.00206695
124,0.00206198
125,0.00205712
126,0.00205237
127,0.00204773
128,0.00204318
129,0.00203873
130,0.00203437
131,0.00203010
132,0.00202592
133,0.00202181
134,0.00201778
135,0.00201383
136,0.00200994
137,0.00200613
138,0.00200238
139,0.00199869
140,0.00199506
141,0.00199150
142,0.00198799
143,0.00198453
144,0.00198112
145,0.00197776
146,0.00197445
147,0.00197119
148,0.00196797
149,0.00196479
150,0.00196166
151,0.00195856
152,0.00195550
153,0.00195248
154,0.00194949
155,0.00194654
156,0.00194361
157,0.00194072
158,0.00193786
159,0.00193503
160,0.00193223
161,0.00192945
162,0.00192670
163,0.00192398
164,0.00192128
165,0.00191860
166,0.00191595
167,0.00191331
168,0.00191070
169,0.00190811
170,0.00190554
171,0.00190299
172,0.00190045
173,0.00189793
174,0.00189543
175,0.00189295
176,0.00189049
177,0.00188804
178,0.00188560
179,0.00188318
180,0.00188077
181,0.00187838
182,0.00187600
183,0.00187363
184,0.00187128
185,0.00186894
186,0.00186661
187,0.00186429
188,0.00186199
189,0.00185969
190,0.00185740
191,0.00185513
192,0.00185287
193,0.00185061
194,0.00184837
195,0.00184613
196,0.00184391
197,0.00184169
198,0.00183948
199,0.00183728
